	answer	answer_seg	qid	question	question_parsing
59	个人通知存款是指存款人在存入款项时不约定存期，支取时需提前通知银行，约定支取日期和金额方能支取的存款。按存款人提前通知的期限长短划分为一天通知存款和七天通知存款两个品种，起存金额为5万元人民币，不支持外币。	个人通知存款|介绍|	60	个人通知存款的介绍	{'s': [], 'v': ['介绍'], 'a': ['个人', '通知', '存款'], 'o': [], 'f': []}
60	整存整取是指事先约定存期，本金一次存入，到期支取本息的一种储蓄种类。储蓄卡可以开通多个整存整取户，没有个数限制。	整存整取|定义|	61	整存整取的定义	{'s': [], 'v': ['定义'], 'a': ['整存整取'], 'o': [], 'f': []}
61	整存整取可以受理人民币和外币存款，外币指的是分行受理的外币币种。人民币起存金额为50元（存期：3个月、半年、1年、2年、3年、5年），外币起存金额为等值人民币50元的外币（存期：1个月、3个月、半年、1年、2年）	整存整取|币种|存期|及|起存金额|	62	整存整取的币种、存期及起存金额	{'s': ['币种'], 'v': ['存'], 'a': ['整存整取'], 'o': ['金额'], 'f': []}
62	普通版办理存入开户：您可以进入我行主页点击右侧“个人银行普通版”，输入卡号、查询密码登录，点击横排菜单“自助转账”-“卡内互转”-“定活互转”，在“整存整取”界面操作“转整存整取”根据提示操作。个人版办理存入开户：您可以登录个人银行个人版，选择“卡内互转”-“定活互转”，在“整存整取”界面选择蓝色字体“转整存整取”，操作时会让您录入金额，选择存期并输入取款密码确认。	整存整取|开户|	63	整存整取开户方法	{'s': [], 'v': ['方法'], 'a': ['整存整取', '开户'], 'o': [], 'f': []}
63	"1.普通版办理零存整取开户流程：进入我行主页点击右侧个人银行普通版""，输入卡号、查询密码登录，在""自助转账""-""卡内互转""-""定活互转""下的""零存整取""界面操作""开户""。2.个人版办理零存整取开户流程：登录后，选择""卡内互转""-""定活互转""，在""零存整取""界面操作""开户""。"""	通过|网上银行|办理|零存整取|开户|	64	如何通过网上银行办理零存整取开户	{'s': [], 'v': ['办理'], 'a': ['零存整取'], 'o': ['开户'], 'f': ['如何']}
64	"1.普通版办理零存整取续存流程：进入我行主页点击右侧个人银行普通版""，输入卡号、查询密码登录，点击横排菜单""自助转账""-""卡内互转""-""定活互转""，在""零存整取""界面操作""续存""；2.个人版办理零存整取续存流程：登录个人银行个人版，在""卡内互转""-""定活互转""下的""零存整取""界面操作""续存""。"""	通过|网上银行|办理|零存整取|续存|	65	如何通过网上银行办理零存整取续存	{'s': [], 'v': ['办理'], 'a': ['零存整取'], 'o': ['续存'], 'f': ['如何']}
65	零存整取需每月手动操作续存，暂无自动续存功能（续存金额是固定的，无法修改）；自然月当月任一天续存都可以（到期当月无需操作续存），因按天数计息，所以当月越早存入，该笔续存计算利息的实际天数越多，相对所得利息也就越多。	零存整取|续存|日期|	66	零存整取的续存日期规定	{'s': [], 'v': ['规定'], 'a': ['零存整取', '续存', '日期'], 'o': [], 'f': []}
66	若零存整取漏存应于次月补齐。若未补存，视同违约，违约后将不再接受储户续存及补存业务，到期支取时按实存金额和实际存期计算利息。如果漏存后已按时补存，但过段时间再次漏存，仍可按规定进行补存。（如：1月漏存，应于2月补存。如5月再次漏存，仍可在6月补存。	零存整取|漏存|或|违约|规定|	67	零存整取漏存或违约规定	{'s': [], 'v': ['规定'], 'a': ['零存整取', '漏'], 'o': [], 'f': []}
67	关于储蓄卡的储蓄利息信息，您可以点击这里，选择储蓄品种、存期，输入金额即可计算出结果。	储蓄|计算器|	68	储蓄计算器	{'s': [], 'v': ['计算器'], 'a': ['储蓄'], 'o': [], 'f': []}
68	零存整取到期自动转活期。如未到期办理提前支取，需本人持储蓄卡和身份证件到全行任一柜台办理（可代办），按活期计息。【温馨提示：①、不能部分提前支取；②、其他渠道无法办理提前支取。】	零存整取|支取|	69	零存整取的支取方法	{'s': [], 'v': ['方法'], 'a': ['零存整取', '支取'], 'o': [], 'f': []}
69	零存整取是指事先约定存期，金额固定，逐月存入到期支取本息的储蓄。币种是人民币，起存金额5元（存款机起点为100元），存期分一年、三年、五年。同一借记卡可开立多个零存整取账户。	零存整取|定义|	70	零存整取的定义	{'s': [], 'v': ['定义'], 'a': ['零存整取'], 'o': [], 'f': []}
70	您可以进入银行主页点击右侧“个人银行”，输入卡号、查询密码登录，点击横排菜单“自助转账”-“卡内互转”-“通知存款转账”，然后点击“通知查询和取消”，根据提示操作查询或取消。（注：如果您操作了“通知转活期”后又操作“通知取消”，则此笔通知存款利息会有损失。当您再操作“通知转活期”或“不通知转活期”时，会扣除之前操作“通知取消”存款金额相应1天/7天的利息。）	办理|个人通知存款|取消通知|	71	如何办理个人通知存款取消通知	{'s': [], 'v': ['办理'], 'a': ['个人', '通知'], 'o': ['存款', '通知'], 'f': ['如何']}
71	您可以登录个人版选择“卡内互转”---“通知存款转账”，在通知存款子账户下点击“转活期”后根据提示操作。如果立即使用款项，请选择“不通知转活期”，按活期计息。若1天/7天后使用款项，请选择“通知转活期”，按通知存款利息计息。	办理|个人通知存款|办理|通知|即|转|活期|	72	如何办理个人通知存款办理通知（即转活期）	{'s': [], 'v': ['办理'], 'a': ['个人', '通知', '即转活期'], 'o': ['存款', '通知'], 'f': ['如何']}
72	您可以进入银行主页点击右侧“个人银行普通版”，输入卡号、查询密码登录，点击横排菜单“自助转账”-“卡内互转”-“通知存款转账”，点击“转通知存款”后根据提示操作。	办理|个人通知存款|开户|活期|转|通知存款|	73	如何办理个人通知存款开户（活期转通知存款）	{'s': [], 'v': ['办理'], 'a': ['个人', '通知', '存款', '活期转通知存款'], 'o': ['开户'], 'f': ['如何']}
73	办理了“通知转活期”，通知的金额需1天或7天（此天数为自然日，不受节假日影响）后到账，按通知存款利率计息；若需要立即转活期，请操作“不通知转活期”，按活期计息。	通知存款|转|活期|	74	通知存款转活期的规定	{'s': ['存款'], 'v': ['规定'], 'a': ['通知', '转'], 'o': ['活期'], 'f': []}
74	通知存款的通知取消，指的是在您已经办理了“通知转活期”，而资金急着使用，可以办理通知取消，然后操作“不通知转活期”，资金立即返回到活期结算户进行使用。这样会损失1天/7天的利息（本金不会损失），且按活期计息。	通知存款|通知|取消|定义|	75	什么是通知存款的通知取消	{'s': ['什么', '通知'], 'v': ['是'], 'a': ['通知', '存款'], 'o': ['取消'], 'f': []}
75	您通过各渠道办理“不通知转活期”，我行立即将转帐金额本息合计转入您的活期账户，转出这部分金额视同未通知支取，按活期利率计息。（只有储蓄卡可通过自助渠道办理，存单需要到柜台办理）	通知存款|不|通知|转|活期|定义|	76	什么是通知存款不通知转活期	{'s': ['什么', '存款'], 'v': ['是'], 'a': ['通知'], 'o': ['通知', '活期'], 'f': []}
76	您可以通过手机银行、网上银行普通版、个人版操作通知存款的通知查询或取消。	办理|通知存款|通知|查询|取消|	77	如何办理通知存款的通知查询/取消	{'s': ['通知'], 'v': ['查询'], 'a': ['办理', '通知'], 'o': ['存款'], 'f': ['如何']}
77	外汇专户转活期时提示“ACT1225”表示限制出账/余额限制，一般是账户的资金被冻结或者是余额不足造成的。	外汇|专户|转|活期|时|提示|ACT1225|	78	外汇专户转活期时提示“ACT1225”是什么意思	{'s': ['专户', '1225'], 'v': ['提示'], 'a': ['外汇', '转', 'ACT', '什么'], 'o': ['活期', '是', '意思'], 'f': []}
78	个人通知存款的“通知转活期”，指的是操作提前通知，1天/7天后资金自动返回活期结算户，银行按1天/7天通知存款的利率付息给您。【温馨提示：如存期不足7天，则按1天通知存款计息。】	通知存款|通知|转|活期|定义|	79	通知存款通知转活期的定义	{'s': ['通知', '通知'], 'v': ['转'], 'a': ['存款', '活期'], 'o': ['定义'], 'f': []}
79	1、开户规定：开户起存金额和最低支取金额都为5万元。仅限人民币开户，不能办理外币开户；2、办理通知时有如下规定：（1）办理通知时约定支取金额必须大于5万元（含），留存金额必须大于5万元（含）或为0元；（2）一笔通知存款多次通知：指一笔通知存款，您在第一次通知还未到期之前连续办理多次通知的情况；（3）一笔通知存款一天内可以办理多次通知（每笔通知会产生一个3位的通知序号）。	办理|个人通知存款|时需|遵循|规定|	80	办理个人通知存款时需遵循的规定	{'s': [], 'v': ['规定'], 'a': ['办理', '个人', '通知', '遵循'], 'o': ['存款'], 'f': []}
80	“智能通知存款”协议的申请，需要本人或代办人持储蓄卡到一级分行范围内任一网点申请开通。另每位客户只能在一张储蓄卡开通智能通知存款功能。签订智能通知存款协议的储蓄卡人民币活期余额大于等于1000元。申请开通智能通知存款的客户必须同时满足以下条件：1、第三方存管功能(必须使用开立三方存管的账户开通)；2、金卡客户且资产达标（月日均资产达标在50万以上）。	智能通知|存款|协议|签订|	81	智能通知存款协议签订	{'s': [], 'v': ['签订'], 'a': ['智能', '通知', '存款'], 'o': ['协议'], 'f': []}
81	“智能通知存款”计息周期：以自然月为计息周期。每月最后一天为结息日，日终时按结息日当日我行牌价利率计息。下月1日为实际付息日。	智能通知|存款|计息规则|	82	智能通知存款计息规则	{'s': ['存款'], 'v': ['计息'], 'a': ['智能', '通知'], 'o': ['规则'], 'f': []}
82	您可以本人或代办人持待关闭“智能通知存款”的“储蓄卡”到全行任一网点均可申请办理关闭“智能通知存款”。刷卡后由客户输入密码确认关闭“智能通知存款”。关闭“智能通知存款”账户后，系统会自动将上次“智能通知存款”结息日后至关闭日前一日的利息计算给您。	智能通知|存款|协议|取消|	83	如何取消智能通知存款协议	{'s': [], 'v': ['取消'], 'a': ['智能', '通知', '存款'], 'o': ['协议'], 'f': ['如何']}
