,qid,question,question_seg,Guessed_SO_Pair
59,60,个人通知存款的介绍,个人通知存款|的|介绍|,"[('个人通知存款', '介绍'), 1]"
60,61,整存整取的定义,整存整取|的|定义|,
61,62,整存整取的币种、存期及起存金额,整存整取|的|币种|存期|及|起存金额|,"[('存期', '整存整取'), 1]"
62,63,整存整取开户方法,整存整取|开户|方法|,"[('开户', '整存整取'), 1]"
63,64,如何通过网上银行办理零存整取开户,如何|通过|网上银行|办理|零存整取|开户|,"[[('办理', '网上银行'), 0.42857142857142855], [('办理', '零存整取'), 0.2857142857142857], [('网上银行', '零存整取'), 0.2857142857142857]]"
64,65,如何通过网上银行办理零存整取续存,如何|通过|网上银行|办理|零存整取|续存|,"[[('办理', '网上银行'), 0.42857142857142855], [('办理', '零存整取'), 0.2857142857142857], [('网上银行', '零存整取'), 0.2857142857142857]]"
65,66,零存整取的续存日期规定,零存整取|的|续存|日期|规定|,"[('零存整取', '续存'), 1]"
66,67,零存整取漏存或违约规定,零存整取|漏存|或|违约|规定|,"[[('漏存', '零存整取'), 0.3333333333333333], [('漏存', '违约'), 0.3333333333333333], [('零存整取', '违约'), 0.3333333333333333]]"
67,68,储蓄计算器,储蓄|计算器|,"[('储蓄', '计算器'), 1]"
68,69,零存整取的支取方法,零存整取|的|支取|方法|,"[[('零存整取', '支取'), 0.3333333333333333], [('方法', '支取'), 0.3333333333333333], [('方法', '零存整取'), 0.3333333333333333]]"
69,70,零存整取的定义,零存整取|的|定义|,
70,71,如何办理个人通知存款取消通知,如何|办理|个人通知存款|取消|通知|,"[[('取消', '通知'), 0.36363636363636365], [('办理', '个人通知存款'), 0.18181818181818182], [('个人通知存款', '通知'), 0.09090909090909091], [('办理', '通知'), 0.09090909090909091], [('个人通知存款', '取消'), 0.045454545454545456], [('办理', '取消'), 0.045454545454545456], [('如何', '取消'), 0.045454545454545456], [('个人通知存款', '如何'), 0.045454545454545456], [('办理', '如何'), 0.045454545454545456], [('如何', '通知'), 0.045454545454545456]]"
71,72,如何办理个人通知存款办理通知（即转活期）,如何|办理|个人通知存款|办理|通知|即|转|活期|,"[[('转', '活期'), 0.45714285714285713], [('办理', '个人通知存款'), 0.11428571428571428], [('转', '通知'), 0.08571428571428572], [('通知', '活期'), 0.08571428571428572], [('办理', '转'), 0.05714285714285714], [('个人通知存款', '通知'), 0.05714285714285714], [('办理', '通知'), 0.05714285714285714], [('个人通知存款', '转'), 0.02857142857142857], [('个人通知存款', '活期'), 0.02857142857142857], [('办理', '活期'), 0.02857142857142857]]"
72,73,如何办理个人通知存款开户（活期转通知存款）,如何|办理|个人通知存款|开户|活期|转|通知存款|,"[[('办理', '个人通知存款'), 0.2857142857142857], [('开户', '个人通知存款'), 0.14285714285714285], [('开户', '通知存款'), 0.14285714285714285], [('办理', '开户'), 0.14285714285714285], [('通知存款', '个人通知存款'), 0.14285714285714285], [('办理', '通知存款'), 0.14285714285714285]]"
73,74,通知存款转活期的规定,通知存款|转|活期|的|规定|,
74,75,什么是通知存款的通知取消,什么|是|通知存款|的|通知|取消|,"[[('通知存款', '取消'), 0.36], [('通知', '取消'), 0.32], [('通知存款', '通知'), 0.32]]"
75,76,什么是通知存款不通知转活期,什么|是|通知存款|不|通知|转|活期|,"[[('转', '活期'), 0.42105263157894735], [('通知存款', '通知'), 0.21052631578947367], [('通知存款', '转'), 0.10526315789473684], [('通知存款', '活期'), 0.10526315789473684], [('转', '通知'), 0.07894736842105263], [('通知', '活期'), 0.07894736842105263]]"
76,77,如何办理通知存款的通知查询/取消,如何|办理|通知存款|的|通知|查询|取消|,"[[('通知存款', '取消'), 0.36], [('通知', '取消'), 0.32], [('通知存款', '通知'), 0.32]]"
77,78,外汇专户转活期时提示“ACT1225”是什么意思,外汇|专户|转|活期|时|提示|ACT1225|是|什么|意思|,
78,79,通知存款通知转活期的定义,通知存款|通知|转|活期|的|定义|,"[[('转', '活期'), 0.42105263157894735], [('通知存款', '通知'), 0.21052631578947367], [('通知存款', '转'), 0.10526315789473684], [('通知存款', '活期'), 0.10526315789473684], [('转', '通知'), 0.07894736842105263], [('通知', '活期'), 0.07894736842105263]]"
79,80,办理个人通知存款时需遵循的规定,办理|个人通知存款|时需|遵循|的|规定|,
80,81,智能通知存款协议签订,智能|通知存款|协议|签订|,"[[('通知存款', '智能'), 0.6], [('通知存款', '协议'), 0.2], [('协议', '智能'), 0.2]]"
81,82,智能通知存款计息规则,智能|通知存款|计息规则|,"[[('通知存款', '智能'), 0.6], [('通知存款', '计息规则'), 0.2], [('智能', '计息规则'), 0.2]]"
82,83,如何取消智能通知存款协议,如何|取消|智能|通知存款|协议|,"[[('通知存款', '取消'), 0.6428571428571429], [('通知存款', '智能'), 0.21428571428571427], [('智能', '取消'), 0.14285714285714285]]"
83,84,智能定期存款支取方式,智能|定期存款支取|方式|,"[[('方式', '定期存款支取'), 0.3333333333333333], [('智能', '方式'), 0.3333333333333333], [('智能', '定期存款支取'), 0.3333333333333333]]"
84,85,存款利率是多少,存款利率|是|多少|,
85,86,人行存款利率调整对储户存款利率的影响,人行存款利率|调整|对|储户存款|利率|的|影响|,"[[('储户存款', '影响'), 0.16666666666666666], [('人行存款利率', '影响'), 0.16666666666666666], [('影响', '利率'), 0.16666666666666666], [('人行存款利率', '储户存款'), 0.16666666666666666], [('储户存款', '利率'), 0.16666666666666666], [('人行存款利率', '利率'), 0.16666666666666666]]"
86,87,贷款利率是多少,贷款利率|是|多少|,
87,88,个人贷款查询流程（网上银行）,个人|贷款|查询|流程|网上银行|,"[[('贷款', '查询'), 0.32142857142857145], [('贷款', '个人'), 0.21428571428571427], [('贷款', '流程'), 0.125], [('个人', '查询'), 0.125], [('查询', '流程'), 0.08928571428571429], [('个人', '流程'), 0.03571428571428571], [('个人', '网上银行'), 0.03571428571428571], [('网上银行', '流程'), 0.017857142857142856], [('网上银行', '查询'), 0.017857142857142856], [('贷款', '网上银行'), 0.017857142857142856]]"
88,89,个人贷款查询流程（手机银行）,个人|贷款|查询|流程|手机银行|,"[[('手机银行', '查询'), 0.23076923076923078], [('贷款', '查询'), 0.23076923076923078], [('贷款', '个人'), 0.15384615384615385], [('贷款', '流程'), 0.08974358974358974], [('个人', '查询'), 0.08974358974358974], [('手机银行', '流程'), 0.0641025641025641], [('查询', '流程'), 0.0641025641025641], [('个人', '流程'), 0.02564102564102564], [('手机银行', '个人'), 0.02564102564102564], [('手机银行', '贷款'), 0.02564102564102564]]"
89,90,信用卡利息收取标准,信用卡|利息|收取|标准|,"[[('信用卡', '标准'), 0.34615384615384615], [('标准', '收取'), 0.2692307692307692], [('信用卡', '收取'), 0.15384615384615385], [('信用卡', '利息'), 0.07692307692307693], [('利息', '收取'), 0.07692307692307693], [('利息', '标准'), 0.07692307692307693]]"
90,91,信用卡预借现金的收费标准,信用卡|预借现金|的|收费|标准|,"[[('收费', '标准'), 0.4230769230769231], [('信用卡', '标准'), 0.34615384615384615], [('信用卡', '收费'), 0.23076923076923078]]"
91,92,什么是复利,什么|是|复利|,
92,93,信用卡取现功能,信用卡|取现|功能|,"[[('信用卡', '功能'), 0.6666666666666666], [('信用卡', '取现'), 0.25], [('功能', '取现'), 0.08333333333333333]]"
93,94,信用卡预借现金额度是多少,信用卡|预借现金|额度|是|多少|,"[('信用卡', '额度'), 1]"
94,95,如何使用网上预借现金,如何|使用|网上|预借现金|,
95,96,信用卡预借现金的限额,信用卡|预借现金|的|限额|,"[('信用卡', '限额'), 1]"
96,97,信用卡如何开卡,信用卡|如何|开卡|,"[('信用卡', '开卡'), 1]"
97,98,信用卡最长免息期的规定,信用卡|最长|免息期|的|规定|,"[[('信用卡', '免息期'), 0.5], [('信用卡', '最长'), 0.25], [('最长', '免息期'), 0.25]]"
98,99,为什么向我收取违约金,为什么|向|我|收取|违约金|,"[('违约金', '收取'), 1]"
99,100,最低还款额计算公式,最低还款额|计算公式|,
100,101,最低还款额的概念,最低还款额|的概念|,
101,102,信用卡账单日及还款日介绍,信用卡|账单日|及|还款日|介绍|,
102,103,信用卡当期账单快速查询,信用卡|当期账单|快速|查询|,"[[('信用卡', '查询'), 0.9318181818181818], [('信用卡', '当期账单'), 0.03409090909090909], [('当期账单', '查询'), 0.03409090909090909]]"
103,104,如何查看信用卡的每月账单日,如何|查看|信用卡|的|每月|账单日|,"[[('信用卡', '账单日'), 0.625], [('信用卡', '查看'), 0.25], [('账单日', '查看'), 0.125]]"
104,105,如何查看信用卡到期还款日,如何|查看|信用卡|到期还款日|,"[[('信用卡', '查看'), 0.4], [('信用卡', '到期还款日'), 0.4], [('到期还款日', '查看'), 0.2]]"
105,106,如何修改信用卡账单周期,如何|修改|信用卡|账单周期|,"[[('信用卡', '修改'), 0.8648648648648649], [('信用卡', '账单周期'), 0.08108108108108109], [('账单周期', '修改'), 0.05405405405405406]]"
106,107,信用卡自动还款注意事项,信用卡|自动还款|注意事项|,"[('信用卡', '注意事项'), 1]"
107,108,信用卡补扣方法,信用卡|补扣|方法|,"[('信用卡', '补扣'), 1]"
108,109,信用卡还款冲账顺序,信用卡|还款|冲账|顺序|,"[[('信用卡', '还款'), 0.8837209302325582], [('信用卡', '顺序'), 0.023255813953488372], [('信用卡', '冲账'), 0.023255813953488372], [('顺序', '还款'), 0.023255813953488372], [('顺序', '冲账'), 0.023255813953488372], [('还款', '冲账'), 0.023255813953488372]]"
109,110,信用卡还款入账时效,信用卡|还款|入账|时效|,"[[('信用卡', '还款'), 0.926829268292683], [('信用卡', '入账'), 0.04878048780487805], [('还款', '入账'), 0.024390243902439025]]"
110,111,如何修改(ATM)储蓄卡取款限额,如何|修改|ATM|储蓄卡|取款|限额|,"[[('限额', '修改'), 0.35714285714285715], [('取款', 'ATM'), 0.15714285714285714], [('限额', '取款'), 0.11428571428571428], [('限额', 'ATM'), 0.1], [('修改', '取款'), 0.07142857142857142], [('储蓄卡', '修改'), 0.07142857142857142], [('储蓄卡', '取款'), 0.05714285714285714], [('储蓄卡', '限额'), 0.02857142857142857], [('储蓄卡', 'ATM'), 0.02857142857142857], [('修改', 'ATM'), 0.014285714285714285]]"
111,112,银联借记卡境外ATM取款额度修改渠道,银联|借记卡|境外|ATM|取款|额度|修改|渠道|,"[[('银联', '境外'), 0.3333333333333333], [('取款', 'ATM'), 0.28205128205128205], [('境外', 'ATM'), 0.20512820512820512], [('银联', 'ATM'), 0.1282051282051282], [('银联', '取款'), 0.02564102564102564], [('境外', '取款'), 0.02564102564102564]]"
112,113,信用卡退税的规定,信用卡|退税|的|规定|,"[('信用卡', '退税'), 1]"
113,114,境外交易换算汇率,境外|交易|换算|汇率|,"[[('汇率', '境外'), 0.4], [('汇率', '换算'), 0.4], [('境外', '换算'), 0.2]]"
114,115,信用卡银联小额免签政策是什么,信用卡|银联|小额免签|政策|是|什么|,"[[('信用卡', '小额免签'), 0.3333333333333333], [('信用卡', '银联'), 0.3333333333333333], [('银联', '小额免签'), 0.3333333333333333]]"
115,116,信用卡刷卡失败的原因,信用卡|刷卡|失败|的|原因|,"[[('原因', '失败'), 0.3], [('信用卡', '原因'), 0.2], [('信用卡', '刷卡'), 0.15], [('信用卡', '失败'), 0.15], [('刷卡', '原因'), 0.1], [('刷卡', '失败'), 0.1]]"
116,117,储蓄卡网上支付不了的原因,储蓄卡|网上支付|不了|的|原因|,"[[('网上支付', '不了'), 0.16666666666666666], [('储蓄卡', '网上支付'), 0.16666666666666666], [('网上支付', '原因'), 0.16666666666666666], [('储蓄卡', '不了'), 0.16666666666666666], [('原因', '不了'), 0.16666666666666666], [('储蓄卡', '原因'), 0.16666666666666666]]"
117,118,银联借记卡境外ATM取款的规定,银联|借记卡|境外|ATM|取款|的|规定|,"[[('银联', '境外'), 0.2826086956521739], [('借记卡', '境外'), 0.21739130434782608], [('借记卡', '银联'), 0.17391304347826086], [('境外', 'ATM'), 0.17391304347826086], [('银联', 'ATM'), 0.10869565217391304], [('借记卡', 'ATM'), 0.043478260869565216]]"
118,119,国际借记卡境外ATM取款手续费,国际借记卡|境外|ATM|取款|手续费|,"[[('国际借记卡', '境外'), 0.2459016393442623], [('取款', 'ATM'), 0.18032786885245902], [('境外', 'ATM'), 0.13114754098360656], [('手续费', '境外'), 0.11475409836065574], [('手续费', '取款'), 0.09836065573770492], [('手续费', 'ATM'), 0.08196721311475409], [('国际借记卡', '取款'), 0.04918032786885246], [('手续费', '国际借记卡'), 0.04918032786885246], [('国际借记卡', 'ATM'), 0.03278688524590164], [('境外', '取款'), 0.01639344262295082]]"
119,120,信用卡卡片状态查询,信用卡|卡片状态|查询|,"[[('信用卡', '查询'), 0.9318181818181818], [('卡片状态', '查询'), 0.045454545454545456], [('信用卡', '卡片状态'), 0.022727272727272728]]"
120,121,信用卡停卡恢复说明,信用卡|停卡|恢复|说明|,"[[('信用卡', '恢复'), 0.5], [('信用卡', '停卡'), 0.25], [('停卡', '恢复'), 0.25]]"
121,122,信用卡可以进行复卡操作吗,信用卡|可以|进行|复卡|操作|吗|,
122,123,信用卡复卡时效,信用卡|复卡|时效|,"[('信用卡', '时效'), 1]"
123,124,查询评估状态失败后，提示FP07034的含义,查询|评估|状态|失败|后|提示|FP07034|的|含义|,"[('查询', '评估'), 1]"
124,125,查询开卡时间,查询|开卡|时间|,"[('时间', '查询'), 1]"
125,126,申请提高临时额度,申请|提高|临时额度|,"[('申请', '提高'), 1]"
126,127,定活两便的利息计算,定活两便|的|利息|计算|,"[[('利息', '定活两便'), 0.3333333333333333], [('计算', '定活两便'), 0.3333333333333333], [('利息', '计算'), 0.3333333333333333]]"
127,128,定活两便的开户方法,定活两便|的|开户|方法|,"[('开户', '定活两便'), 1]"
128,129,定活两便的定义,定活两便|的|定义|,
129,130,储蓄卡综合账单补寄方法,储蓄卡|综合|账单|补寄|方法|,"[[('方法', '补寄'), 0.5555555555555556], [('方法', '账单'), 0.3333333333333333], [('账单', '补寄'), 0.1111111111111111]]"
130,131,取消储蓄卡综合对账单协议,取消|储蓄卡|综合对账单|协议|,"[('综合对账单', '取消'), 1]"
131,132,储蓄卡综合对账单添加账户,储蓄卡|综合对账单|添加|账户|,
132,133,查询储蓄卡综合对账单,查询|储蓄卡|综合对账单|,"[[('储蓄卡', '查询'), 0.8333333333333334], [('综合对账单', '查询'), 0.125], [('储蓄卡', '综合对账单'), 0.041666666666666664]]"
133,134,综合对账单介绍,综合对账单|介绍|,"[('综合对账单', '介绍'), 1]"
134,135,如何通过网上银行申请储蓄卡综合对账单,如何|通过|网上银行|申请|储蓄卡|综合对账单|,"[('网上银行', '综合对账单'), 1]"
135,136,如何通过柜台申请综合对账单,如何|通过|柜台|申请|综合对账单|,
136,137,储蓄卡综合对账单寄送时间,储蓄卡|综合对账单|寄送|时间|,"[('综合对账单', '寄送'), 1]"
137,138,如何修改储蓄卡综合对账单的邮箱,如何|修改|储蓄卡|综合对账单|的|邮箱|,"[[('综合对账单', '修改'), 0.5], [('综合对账单', '邮箱'), 0.25], [('邮箱', '修改'), 0.25]]"
138,139,什么是同一客户号,什么|是|同一|客户号|,"[('客户号', '同一'), 1]"
139,140,如何修改储蓄卡综合对账单协议,如何|修改|储蓄卡|综合对账单|协议|,"[[('综合对账单', '修改'), 0.5], [('协议', '综合对账单'), 0.25], [('协议', '修改'), 0.25]]"
140,141,如何申请“小M理财”账户的综合对账单,如何|申请|小M理财|账户|的|综合对账单|,"[[('账户', '小M理财'), 0.5], [('综合对账单', '小M理财'), 0.25], [('账户', '综合对账单'), 0.25]]"
141,142,如何删除储蓄卡综合对账单的来源账户,如何|删除|储蓄卡|综合对账单|的|来源|账户|,"[('综合对账单', '删除'), 1]"
